mode,winner,started_at
single_player,You,2025-11-19T00:31:25.077117

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,7,7,6,0,0,0,0,0,0,0
2,white,5,7,10,0,0,0,0,0,0,0
3,black,8,7,22,0,0,0,0,0,0,0
4,white,6,7,24,0,0,0,0,0,0,0
5,black,7,8,36,0,0,0,0,0,0,0
6,white,9,6,38,0,0,0,0,0,0,0
7,black,7,6,52,0,0,0,0,0,0,0
8,white,7,5,55,0,0,0,0,0,0,0
9,black,9,8,74,0,0,0,0,0,0,0
10,white,6,5,76,0,0,0,0,0,0,0
11,black,6,8,112,0,0,0,0,0,0,0
12,white,7,9,114,0,0,0,0,0,0,0
13,black,8,8,135,0,0,0,0,0,0,0
14,white,5,8,136,0,0,0,0,0,0,0
15,black,10,8,162,1,0,0,0,0,0,0
