mode,winner,started_at
single_player,Computer,2025-11-19T15:53:31.105693

move_no,player,row,col,elapsed_seconds,good_move,missed_win,missed_block,weak_edge,low_value,risky_move,forced_move
1,black,8,6,1,0,0,0,0,0,0,0
2,white,6,6,2,0,0,0,0,0,0,0
3,black,7,7,22,0,0,0,0,0,0,0
4,white,9,5,22,0,0,0,0,0,0,0
5,black,6,4,31,0,0,0,0,0,0,0
6,white,7,5,32,0,0,0,0,0,0,0
7,black,9,7,33,0,0,0,0,0,0,0
8,white,8,7,34,0,0,0,0,0,0,0
9,black,10,7,35,0,0,0,0,0,0,0
10,white,6,8,35,0,0,0,0,0,0,0
11,black,9,8,36,0,0,0,0,0,0,0
12,white,9,6,37,0,0,0,0,0,0,0
13,black,8,4,194,0,0,0,0,0,0,0
14,white,4,6,196,0,0,0,0,0,0,0
15,black,7,4,197,0,0,0,0,0,0,0
16,white,9,4,198,0,0,0,0,0,0,0
17,black,7,2,204,0,0,0,0,0,0,0
18,white,8,5,205,0,0,0,0,0,0,0
19,black,10,9,207,0,0,0,0,0,0,0
20,white,2,4,209,0,0,0,0,0,0,0
21,black,11,10,209,0,0,0,0,0,0,0
22,white,5,4,211,0,0,0,0,0,0,0
23,black,12,12,212,0,0,0,0,0,0,0
24,white,11,6,213,0,0,0,0,0,0,0
25,black,11,13,214,0,0,0,0,0,0,0
26,white,11,7,216,0,0,0,0,0,0,0
27,black,14,12,216,0,0,0,1,0,0,0
28,white,10,8,218,0,0,0,0,0,0,0
29,black,8,12,219,0,0,0,0,0,0,0
30,white,13,12,220,0,0,0,0,0,0,0
31,black,12,5,223,0,0,0,0,0,0,0
32,white,1,3,225,0,0,0,0,0,0,0
33,black,12,6,225,0,0,0,0,0,0,0
34,white,9,9,227,0,0,0,0,0,0,0
35,black,10,5,228,0,0,0,0,0,0,0
36,white,10,6,229,0,0,0,0,0,0,0
37,black,11,5,231,0,0,0,0,0,0,0
38,white,10,4,232,0,0,0,0,0,0,0
39,black,14,5,232,0,0,0,1,0,0,0
40,white,13,5,233,0,0,0,0,0,0,0
41,black,13,7,235,0,0,0,0,0,0,0
42,white,12,4,236,0,0,0,0,0,0,0
43,black,8,9,238,0,0,0,0,0,0,0
44,white,13,11,240,0,0,0,0,0,0,0
45,black,8,10,240,0,0,0,0,0,0,0
46,white,7,10,241,0,0,0,0,0,0,0
47,black,9,11,241,0,0,0,0,0,0,0
48,white,8,11,243,0,0,0,0,0,0,0
49,black,9,13,244,0,0,0,0,0,0,0
50,white,9,12,246,0,0,0,0,0,0,0
51,black,8,13,253,0,0,0,0,0,0,0
52,white,10,13,255,0,0,0,0,0,0,0
53,black,7,12,269,0,0,1,0,0,0,0
54,white,6,9,270,0,0,0,0,0,0,0
